EmployerId,Offered,Status
442297095,ProductX,Lost
634912379,ProductX,Lost
466578,ProductX,Lost
408151236,ProductX,Lost
460714,ProductX,Lost
779909,ProductX,Lost
650277972,ProductX,Lost
622606587,ProductX,Sold
624583467,ProductX,Lost
624442288,ProductX,Lost
352832970,ProductX,Lost
635179767,ProductX,Sold
139392525,ProductX,Lost
624768814,ProductX,Sold
699789,ProductX,Lost
533878,ProductX,Lost
635350028,ProductX,Lost
673938,ProductX,Lost
636392331,ProductX,Lost
229915699,ProductX,Lost
795936,ProductX,Lost
637847371,ProductX,Lost
684897694,ProductX,Lost
405454146,ProductX,Sold
473062452,ProductX,Lost
526424,ProductX,Lost
621160338,ProductX,Sold
551048,ProductX,Lost
450590370,ProductX,Lost
320376473,ProductX,Sold
565628345,ProductX,Lost
763040,ProductX,Lost
504903,ProductX,Lost
513025,ProductX,Sold
694247,ProductX,Lost
596038332,ProductX,Lost
651259129,ProductX,Sold
604357804,ProductX,Sold
698279513,ProductX,Sold
488939,ProductX,Lost
703606833,ProductX,Sold
23936194,ProductX,Lost
703377242,ProductX,Sold
316609701,ProductX,Lost
736875,ProductX,Lost
594287723,ProductX,Sold
455326280,ProductX,Lost
656886617,ProductX,Sold
830388,ProductX,Lost
611241,ProductX,Sold
730459,ProductX,Lost
364504713,ProductX,Lost
264026805,ProductX,Lost
817977,ProductX,Sold
400074632,ProductX,Lost
640034,ProductX,Lost
574753437,ProductX,Lost
361743658,ProductX,Lost
775982,ProductX,Lost
650278245,ProductX,Sold
166172346,ProductX,Lost
673093043,ProductX,Sold
663526343,ProductX,Sold
353601930,ProductX,Sold
491104,ProductX,Sold
721755,ProductX,Lost
662299910,ProductX,Lost
652798710,ProductX,Sold
532574692,ProductX,Sold
558276805,ProductX,Lost
474559385,ProductX,Lost
591329,ProductX,Lost
86629285,ProductX,Lost
122453102,ProductX,Lost
619457,ProductX,Lost
497496127,ProductX,Lost
2832033,ProductX,Lost
770607,ProductX,Lost
380499726,ProductX,Sold
35367386,ProductX,Lost
539156,ProductX,Lost
638646653,ProductX,Lost
752710,ProductX,Lost
447275,ProductX,Lost
491467568,ProductX,Sold
444510998,ProductX,Lost
464433110,ProductX,Lost
313687975,ProductX,Lost
480127,ProductX,Sold
546842,ProductX,Lost
546568,ProductX,Lost
628523,ProductX,Lost
677382,ProductX,Lost
691228108,ProductX,Sold
314187708,ProductX,Sold
576920084,ProductX,Lost
167898688,ProductX,Lost
694215056,ProductX,Sold
695937836,ProductX,Lost
546389810,ProductX,Lost
57076858,ProductX,Lost
440675474,ProductX,Lost
705691,ProductX,Lost
512165593,ProductX,Lost
109525880,ProductX,Lost
727151,ProductX,Lost
568951912,ProductX,Lost
435701,ProductX,Lost
433102,ProductX,Lost
702462300,ProductX,Lost
494020599,ProductX,Sold
551811536,ProductX,Lost
539186,ProductX,Lost
635086,ProductX,Sold
450933101,ProductX,Lost
680473,ProductX,Lost
773833,ProductX,Lost
805910,ProductX,Lost
769257,ProductX,Lost
540234405,ProductX,Sold
544669611,ProductX,Sold
483927514,ProductX,Sold
568492,ProductX,Lost
564475,ProductX,Lost
587041,ProductX,Lost
483021,ProductX,Lost
150892848,ProductX,Lost
452595086,ProductX,Lost
646560767,ProductX,Sold
626882958,ProductX,Sold
302964763,ProductX,Sold
548125,ProductX,Lost
601388921,ProductX,Lost
650284761,ProductX,Sold
635710940,ProductX,Sold
537078535,ProductX,Lost
535164,ProductX,Lost
650440159,ProductX,Lost
481754325,ProductX,Sold
570899108,ProductX,Lost
656969086,ProductX,Sold
670658673,ProductX,Sold
600270,ProductX,Lost
270900311,ProductX,Sold
271126894,ProductX,Sold
673557544,ProductX,Lost
734228,ProductX,Lost
700178502,ProductX,Lost
333476733,ProductX,Lost
783699,ProductX,Lost
